model,dataset,training_mode,run_id,epochs_trained,final_val_accuracy,best_val_accuracy,training_time_sec,co2_g,co2_kg
lenet,cifar10,fixed,1,50,0.5704,0.6035,164.01,1.3157,0.001316
lenet,cifar10,fixed,2,50,0.5568,0.5987,155.74,1.284,0.001284
lenet,cifar10,fixed,3,50,0.544,0.5825,158.51,1.3366,0.001337
vgg16,cifar10,fixed,1,50,0.7603,0.7618,754.42,8.8907,0.008891
vgg16,cifar10,fixed,2,50,0.7447,0.7476,757.91,8.8889,0.008889
vgg16,cifar10,fixed,3,50,0.7492,0.7536,761.42,8.9318,0.008932
resnet18,cifar10,fixed,1,50,0.6374,0.7215,761.11,8.9504,0.00895
resnet18,cifar10,fixed,2,50,0.6287,0.6951,754.79,8.893,0.008893
resnet18,cifar10,fixed,3,50,0.6786,0.6786,756.73,8.9134,0.008913
resnet50,cifar10,fixed,1,50,0.6646,0.7093,1465.67,16.7241,0.016724
resnet50,cifar10,fixed,2,50,0.7199,0.7415,1438.31,16.5107,0.016511
resnet50,cifar10,fixed,3,50,0.6752,0.7127,1424.84,16.3934,0.016393
mobilenetv2,cifar10,fixed,1,50,0.6746,0.7189,700.59,7.4837,0.007484
mobilenetv2,cifar10,fixed,2,50,0.7163,0.7207,690.92,7.376,0.007376
mobilenetv2,cifar10,fixed,3,50,0.7182,0.7186,717.09,7.5688,0.007569
efficientnetb0,cifar10,fixed,1,50,0.6672,0.6685,879.75,0.1055,0.000105
efficientnetb0,cifar10,fixed,2,50,0.6791,0.6804,869.71,0.1054,0.000105
efficientnetb0,cifar10,fixed,3,50,0.68,0.6818,853.52,0.1037,0.000104
mobilenetv2,cifar10,convergence,1,61,0.725,0.728,873.41,9.1321,0.009132
mobilenetv2,cifar10,convergence,2,63,0.7141,0.7235,892.12,9.354,0.009354
mobilenetv2,cifar10,convergence,3,35,0.698,0.7089,500.38,5.2236,0.005224
efficientnetb0,cifar10,convergence,1,76,0.6862,0.6869,1328.3,14.3691,0.014369
efficientnetb0,cifar10,convergence,2,25,0.6584,0.6632,497.02,5.1844,0.005184
efficientnetb0,cifar10,convergence,3,84,0.6883,0.6911,1443.48,15.7088,0.015709
resnet18,cifar10,convergence,1,19,0.621,0.6271,297.7,3.4606,0.003461
resnet18,cifar10,convergence,2,20,0.4569,0.6134,307.15,3.6033,0.003603
resnet18,cifar10,convergence,3,28,0.6347,0.682,426.37,5.0134,0.005013
resnet50,cifar10,convergence,1,74,0.735,0.735,2115.07,24.3904,0.02439
resnet50,cifar10,convergence,2,38,0.6373,0.6824,1157.94,13.092,0.013092
resnet50,cifar10,convergence,3,36,0.6902,0.6976,1059.34,12.0644,0.012064
vgg16,cifar10,convergence,1,39,0.7644,0.7663,604.02,9.5593,0.009559
vgg16,cifar10,convergence,2,21,0.7291,0.7307,329.18,5.2014,0.005201
vgg16,cifar10,convergence,3,19,0.6813,0.7164,304.39,0.0398,4e-05
lenet,cifar10,convergence,1,28,0.5869,0.5889,92.21,0.0083,8e-06
lenet,cifar10,convergence,2,31,0.577,0.5856,100.85,0.009,9e-06
lenet,cifar10,convergence,3,26,0.5531,0.5806,84.51,0.0075,8e-06
